Año,Trimestre,Provincia,Accesos_100_hogares,KPI_hogares_2%,Fibra_optica,KPI_fibra_10%,Accesos_100_hab,ADSL,Cablemodem,Wireless,Otros,Total
2023,1,Neuquén,78.55,80.121,32296.0,37140.399999999994,23.38,28030.0,72639.0,23937.0,3510.0,160412.0
2023,1,Río Negro,69.16,70.5432,45329.0,52128.35,21.27,33604.0,49128.0,16857.0,19413.0,164331.0
2023,1,Salta,57.67,58.8234,56259.0,64697.85,13.97,33427.0,96922.0,12269.0,6549.0,205426.0
2023,1,San Juan,49.75,50.745,12798.0,14717.699999999999,12.67,38568.0,21215.0,21912.0,7274.0,101767.0
2023,1,San Luis,90.17,91.9734,6952.0,7994.799999999999,25.8,6283.0,42789.0,78954.0,485.0,135463.0
2023,1,Santa Cruz,43.42,44.2884,12217.0,14049.55,12.92,9702.0,23839.0,3660.0,943.0,50361.0
2023,1,Santa Fe,78.13,79.6926,283988.0,326586.19999999995,24.57,138935.0,405618.0,43487.0,14246.0,886274.0
2023,1,Santiago Del Estero,47.55,48.501,16656.0,19154.399999999998,11.8,11642.0,80407.0,6916.0,2934.0,118555.0
2023,1,Tierra Del Fuego,104.23,106.31460000000001,405.0,465.74999999999994,30.9,12754.0,43146.0,157.0,651.0,57113.0
2023,1,Tucumán,60.34,61.546800000000005,180976.0,208122.4,14.95,55822.0,19482.0,4293.0,527.0,261100.0
2022,4,Buenos Aires,78.94,80.5188,1499149.0,1724021.3499999999,26.72,325908.0,2767247.0,129910.0,72451.0,4794665.0
2022,4,Capital Federal,122.73,125.1846,138548.0,159330.19999999998,50.35,138753.0,1238196.0,4603.0,31826.0,1551926.0
2022,4,Catamarca,65.77,67.08539999999999,47337.0,54437.549999999996,16.73,8952.0,10998.0,1379.0,2243.0,70909.0
2022,4,Chaco,43.62,44.492399999999996,47285.0,54377.74999999999,11.66,24582.0,61265.0,7957.0,2574.0,143663.0
2022,4,Chubut,85.57,87.28139999999999,9815.0,11287.25,26.23,45450.0,73923.0,30721.0,8850.0,168759.0
2022,4,Córdoba,89.03,90.81060000000001,367393.0,422501.94999999995,27.26,152265.0,456947.0,61631.0,11424.0,1049660.0
2022,4,Corrientes,51.64,52.6728,26752.0,30764.8,13.6,34038.0,80283.0,9082.0,5298.0,155453.0
2022,4,Entre Ríos,64.01,65.29020000000001,40798.0,46917.7,19.14,55507.0,135746.0,26414.0,12509.0,270974.0
2022,4,Formosa,39.41,40.1982,13118.0,15085.699999999999,10.03,13735.0,17068.0,17692.0,227.0,61840.0
2022,4,Jujuy,58.46,59.629200000000004,42626.0,49019.899999999994,14.95,17880.0,52390.0,4067.0,1255.0,118218.0
2022,4,La Pampa,94.8,96.696,24552.0,28234.8,31.23,7785.0,60566.0,19995.0,1266.0,114164.0
2022,4,La Rioja,79.86,81.4572,19328.0,22227.199999999997,21.26,6120.0,54387.0,6395.0,32.0,86262.0
2022,4,Mendoza,51.36,52.3872,147080.0,169142.0,14.33,37655.0,77814.0,27607.0,1948.0,292104.0
2022,4,Misiones,52.85,53.907000000000004,46885.0,53917.74999999999,14.39,33204.0,87202.0,11075.0,7903.0,186269.0
2022,4,Neuquén,78.67,80.24340000000001,31567.0,36302.049999999996,23.41,28609.0,72679.0,23815.0,3510.0,160180.0
2022,4,Río Negro,68.42,69.78840000000001,43958.0,50551.7,21.04,34043.0,48401.0,16277.0,19413.0,162092.0
2022,4,Salta,57.96,59.1192,53470.0,61490.49999999999,14.04,36939.0,97023.0,11884.0,6544.0,205860.0
2022,4,San Juan,50.88,51.897600000000004,12491.0,14364.65,12.96,38570.0,22913.0,21912.0,7940.0,103826.0
2022,4,San Luis,90.27,92.0754,3409.0,3920.35,25.83,6283.0,43460.0,81557.0,511.0,135220.0
2022,4,Santa Cruz,43.53,44.400600000000004,12217.0,14049.55,12.95,9702.0,23876.0,3746.0,662.0,50203.0
2022,4,Santa Fe,78.4,79.968,248558.0,285841.69999999995,24.65,163621.0,412157.0,44113.0,19242.0,887691.0
2022,4,Santiago Del Estero,48.05,49.010999999999996,15117.0,17384.55,11.92,13577.0,80955.0,6911.0,2934.0,119494.0
2022,4,Tierra Del Fuego,101.44,103.4688,405.0,465.74999999999994,30.07,12754.0,41293.0,157.0,651.0,55260.0
2022,4,Tucumán,61.04,62.2608,168717.0,194024.55,15.12,69441.0,20668.0,4069.0,527.0,263422.0
2022,3,Buenos Aires,78.11,79.6722,1436433.0,1651897.95,26.37,339648.0,2748325.0,126846.0,70416.0,4721668.0
2022,3,Capital Federal,122.28,124.7256,129218.0,148600.69999999998,50.22,140791.0,1240125.0,5758.0,31787.0,1547679.0
2022,3,Catamarca,65.33,66.6366,46224.0,53157.6,16.62,10010.0,10495.0,1329.0,2235.0,70293.0
2022,3,Chaco,43.86,44.7372,44645.0,51341.74999999999,11.72,27164.0,61800.0,8178.0,2359.0,144146.0
2022,3,Chubut,84.38,86.0676,9574.0,11010.099999999999,25.86,45377.0,72212.0,29784.0,8831.0,165778.0
2022,3,Córdoba,88.31,90.0762,338570.0,389355.49999999994,27.04,163770.0,465461.0,61070.0,9797.0,1038668.0
2022,3,Corrientes,48.21,49.1742,18619.0,21411.85,12.69,36508.0,77140.0,7256.0,5323.0,144846.0
2022,3,Entre Ríos,63.67,64.9434,36971.0,42516.649999999994,19.04,60345.0,132952.0,26098.0,12593.0,268959.0
2022,3,Formosa,43.76,44.6352,11041.0,12697.15,11.14,14470.0,25880.0,16935.0,212.0,68538.0
2022,3,Jujuy,58.91,60.0882,40172.0,46197.799999999996,15.06,19257.0,52978.0,4033.0,2383.0,118823.0
2022,3,La Pampa,96.59,98.5218,23551.0,27083.649999999998,31.82,7796.0,60078.0,20216.0,4451.0,116092.0
2022,3,La Rioja,80.66,82.2732,19697.0,22651.55,21.47,6842.0,53899.0,6395.0,31.0,86864.0
2022,3,Mendoza,51.03,52.0506,142615.0,164007.25,14.24,37659.0,78858.0,27625.0,2766.0,289523.0
2022,3,Misiones,51.82,52.8564,39046.0,44902.899999999994,14.11,35513.0,88902.0,11074.0,7622.0,182157.0
2022,3,Neuquén,80.37,81.9774,29396.0,33805.399999999994,23.92,29352.0,75815.0,27482.0,1116.0,163161.0
2022,3,Río Negro,67.98,69.3396,41017.0,47169.549999999996,20.91,35552.0,48260.0,16760.0,18969.0,160558.0
2022,3,Salta,57.76,58.9152,50254.0,57792.1,13.99,40006.0,96984.0,10082.0,7215.0,204541.0
2022,3,San Juan,50.8,51.815999999999995,12328.0,14177.199999999999,12.94,38570.0,22723.0,21860.0,7918.0,103399.0
2022,3,San Luis,81.74,83.3748,248.0,285.2,23.39,6860.0,29363.0,70614.0,14985.0,122070.0
2022,3,Santa Cruz,43.19,44.053799999999995,10815.0,12437.249999999998,12.85,10170.0,24047.0,3896.0,582.0,49510.0
2022,3,Santa Fe,78.55,80.121,215189.0,247467.34999999998,24.7,183740.0,426255.0,43079.0,19547.0,887810.0
2022,3,Santiago Del Estero,47.98,48.9396,13170.0,15145.499999999998,11.91,15385.0,80937.0,6618.0,2922.0,119032.0
2022,3,Tierra Del Fuego,99.51,101.5002,403.0,463.45,29.5,12754.0,39963.0,125.0,651.0,53896.0
2022,3,Tucumán,61.14,62.3628,162345.0,186696.75,15.14,77738.0,18518.0,3997.0,519.0,263117.0
2022,2,Buenos Aires,77.58,79.1316,1399043.0,1608899.45,26.12927127832741,350652.0,2719613.0,126847.0,71028.0,4667183.0
2022,2,Capital Federal,121.31,123.73620000000001,121506.0,139731.9,49.87356125626109,145491.0,1232226.0,5757.0,31791.0,1536771.0
2022,2,Catamarca,62.4,63.647999999999996,42087.0,48400.049999999996,15.871790195247083,11928.0,9430.0,1329.0,2234.0,67008.0
2022,2,Chaco,43.79,44.6658,42194.0,48523.1,11.70254390369554,29552.0,61284.0,8178.0,2356.0,143564.0
2022,2,Chubut,83.19,84.85379999999999,9574.0,11010.099999999999,25.499919336270644,45377.0,69242.0,29784.0,8828.0,162805.0
2022,2,Córdoba,87.48,89.2296,308895.0,355229.25,26.781590841133493,179181.0,467595.0,61107.0,9657.0,1026435.0
2022,2,Corrientes,48.35,49.317,18181.0,20908.149999999998,12.732146965383649,38468.0,75769.0,7256.0,5323.0,144997.0
2022,2,Entre Ríos,63.9,65.178,35839.0,41214.85,19.10468595065942,63794.0,131029.0,26098.0,12592.0,269352.0
2022,2,Formosa,43.42,44.2884,9875.0,11356.25,11.049814591140091,15397.0,25487.0,16910.0,212.0,67881.0
2022,2,Jujuy,57.32,58.4664,34184.0,39311.6,14.656913524540675,20303.0,54495.0,3955.0,2377.0,115314.0
